"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"312","CHST11","20",2.28498925499042,1.52660470630769,21399511.5,0.842412563256196,1.50893295143131e-156,5.93469890375983e-154,97.1794871794872,38.1684194365548
"313","ITPR2","20",1.96781297216175,1.11916020361374,19520348,0.768437466169868,7.10166148924344e-93,1.05314147265076e-90,93.5897435897436,41.4262685192293
"314","SORL1","20",1.67171261235201,1.00816655450408,19485011,0.767046390829303,6.26281342870995e-91,9.08878239723693e-89,86.1538461538462,42.3796729868734
"315","MAML2","20",2.14280642887191,1.14217829096671,19118258,0.752608802624923,2.33899397880475e-79,2.7478622769179e-77,94.8717948717949,44.7854456129577
"316","ROBO2","21",2.37012277200282,1.33992426581735,17444564.5,0.747737870377379,2.31169745068737e-74,1.0455807569459e-70,86.3128491620112,40.1031196771372
"317","TMEM144","21",2.1590428807615,1.07411090248088,16649114,0.713641951109196,3.3308428701018e-53,2.91588431641363e-50,96.0893854748603,44.0161431399328
"318","ST18","21",2.90976584339106,1.47867290952776,16445131,0.704898493282364,4.55711629208401e-49,2.81070504396763e-46,98.8826815642458,44.0268847729679
"319","ZNF385D","22",3.49023499511668,3.04004150122783,21059683.5,0.961475547474048,0,0,97.9166666666667,23.5607234349353
"320","TSHZ2","22",3.17897599666036,2.82744141613224,20942862.5,0.956142108586827,0,0,96.1309523809524,17.3587568454801
"321","ASIC2","22",3.35502937241694,2.58821347189306,20833064,0.951129280502334,3.93466437130767e-237,1.52541316726496e-234,97.3214285714286,37.119759468622
"322","ZNF385B","22",2.61662927915777,2.06048596705084,20573363.5,0.939272707234422,1.02702488150055e-256,4.7239663108749e-254,97.6190476190476,29.9114881345012
"323","HS3ST4","22",2.79145311866404,2.30811372027628,20513190.5,0.936525521213409,4.06199994195703e-290,2.2496847841802e-287,97.6190476190476,24.5501541671141
"324","OLFM3","22",2.50360781832315,2.01578704449383,20373261,0.930137068480002,3.70663583138114e-268,1.79626219985752e-265,96.7261904761905,26.3495374986577
"325","HTR2C","22",2.58464525842294,2.5313879980355,20363361.5,0.929685108830076,0,0,86.9047619047619,3.57575664605992
"326","CLSTN2","22",2.31633013921224,1.91093705326267,20261879.5,0.925051968853933,1.43616471414084e-280,7.35370528534986e-278,96.4285714285714,23.8982036846707
"327","MYRIP","22",2.38644789391873,1.79584265748886,20245502,0.924304257437531,7.658676943068e-214,2.30934638756644e-211,97.3214285714286,35.9723266195217
"328","CDH18","22",2.87674738395581,2.11597845734648,20205419.5,0.922474299089315,3.54517038577418e-209,1.00217535342854e-206,98.5119047619048,36.8175612449953
"329","DCLK1","22",2.75783956549107,1.96049011289928,20189148.5,0.921731449908654,1.38220773265196e-206,3.78892459077869e-204,99.1071428571429,37.4004816763564
"330","GRM8","22",1.91488639937704,1.6988540009382,20037102,0.914789798015879,0,0,89.8809523809524,14.9365690530611
"331","KHDRBS2","22",3.01743602727315,2.10623178078087,20030993,0.914510892869013,1.93456417907583e-188,4.81653235704218e-186,98.5119047619048,41.6189847980487
"332","TRHDE","22",1.97392497136875,1.67414906593686,19971748.5,0.911806097325798,1.95098701602276e-304,1.12650820512395e-301,92.8571428571429,19.6797005629784
"333","CPNE4","22",1.90283924737378,1.67695701593709,19903395.5,0.908685455076046,0,0,89.5833333333333,15.5501695071254
"334","CDH8","22",2.12051881693123,1.66137430426791,19841434,0.905856615452943,4.55714244842221e-226,1.52681150327509e-223,94.0476190476191,28.6106551718848
"335","CADPS","22",2.6263435610852,1.75721572406131,19769951,0.902593073692684,2.93445250635628e-173,6.12578247057666e-171,98.8095238095238,43.8555584531133
"336","KCNB2","22",2.13262285201632,1.69319142094578,19677169,0.898357130439038,2.55377796294959e-234,9.6256147720175e-232,93.1547619047619,25.7190630321066
"337","GABRG3","22",2.10239753270399,1.60066867649391,19560703.5,0.893039921831685,5.52093006632008e-215,1.68344943977297e-212,97.0238095238095,28.0323367439292
"338","KIAA1217","22",2.40340834836902,1.84615896051737,19505389,0.890514549635529,7.27475268661471e-202,1.93551214126814e-199,93.1547619047619,30.2704444001289
"339","LDB2","22",2.5899660468983,1.87402693153176,19482479.5,0.889468621093684,3.45162123913382e-186,8.43874749437961e-184,97.3214285714286,34.134593259599
