"","AD","HC"
"EFNA1",0.0110196899623139,-0.00909410665544634
"DAP3",-0.0110339031118578,0.0091058361957669
"ARHGEF2",0.0565856097452323,-0.0466978265220842
"LMNA",0.0538961508846903,-0.0444783243575191
"ARHGAP30",0.0526728605044102,-0.0459616047439348
"KLHDC9",-0.0262204408068998,0.0203531354374305
"ADAMTS4",-0.0649895596318581,0.0536332681593232
"NDUFS2",0.0787356380839655,-0.064977353516064
"FCER1G",0.0803076190267075,-0.0672321085855676
"FCGR2A",0.107144151396763,-0.0884217562962302
"DDR2",-0.0598897825206914,0.0494246273422043
"MGST3",-0.0343470631976806,0.0283452490123441
"ATP1B1",0.0575884082245247,-0.0475253957507949
"DNM3",-0.0516665154920952,0.0426382959962563
"PRDX6",-0.0196334822458813,0.0162027227782226
"ASTN1",-0.0979691674821753,0.0808500113045963
"BRINP2",-0.123064902729895,0.101560511665404
"FAM163A",-0.051776212085592,0.0424450782316921
"STX6",-0.0154779827597637,0.0127733562840339
"NMNAT2",-0.0364118035216264,0.0300491961093914
"TPR",0.0275120540816304,-0.0227045910533089
"CFH",-0.00846914429367353,-0.0227789973205561
"DENND1B",-0.0356998509640176,0.0294616503150008
"PTPRC",0.0838703865728272,-0.0692148548039258
"NR5A2",-0.0195750799441332,-0.0244843445287604
"CSRP1",0.0772208928615239,-0.0637272952427603
"UBE2T",0.00686298967724094,-0.010424481797527
"CDK18",0.0945739590761317,-0.0780480824421895
"CR1",0.0369039183763904,-0.0304553186946384
"ESRRG",-0.139389352568209,0.115032423164547
"TLR5",0.0940748219095705,-0.0776361646255795
"CAPN2",-0.0168957946705823,0.013943419396368
"EPHX1",-0.02843705734873,0.0234679590242904
"ITPKB",0.0224239324526895,-0.0185055690365852
"GALNT2",-0.0241364634376191,0.0199188519402303
"AGT",-0.0992487031197417,0.0819059605733952
"DISC1",0.0162636301632851,-0.0134217194690075
"ACTN2",-0.0426926756368027,0.0352325471020287
"HNRNPU",0.0100927973992008,-0.00832917952447878
"KIDINS220",-0.00951112541986487,0.00784914904838196
"LPIN1",-0.0424370345090076,0.0350215767671386
"NBAS",-0.0861298147644669,0.071079469963282
"DDX1",-0.019308024223772,0.0159341353701554
"VSNL1",-0.0579621195856663,0.0478338046977008
"KLHL29",0.0209473954583805,-0.0172870424761154
"SLC30A3",-0.0437489680458339,0.0361042627182919
"ALK",-0.028904765999638,0.0238539401516931
"DPY30",0.0212855210048547,-0.0175660838822664
"QPCT",-0.00841965255400002,-0.000784105434701244
"DYNC2LI1",-0.0708004610654377,0.0584287712617547
"LRPPRC",-0.00658845254147497,0.0054371847403327
"PREPL",-0.0639814120351642,0.0528012845191525
"ATP6V1E2",-0.0214917609520036,0.0177362854108545
"RTN4",0.0115930027564047,-0.00956723863226626
"MDH1",-0.0346015073117373,0.0285552314999551
"PLEK",0.0567232620525923,-0.0474625277775524
"DCTN1",0.0131007992028347,-0.0108115623605861
"IMMT",-0.0304388749239961,0.0251199785090877
"COX5B",0.0443285670646428,-0.0365825824635651
"LIMS1",-0.0195978860597488,0.016173346678335
"RANBP2",0.0392970763013097,-0.0324302956211317
"DPP10",-0.0855069846587113,0.0705654733418056
"DBI",0.0764932981141875,-0.0631268405786461
"CNTNAP5",-0.0405242652528233,0.0334430452764123
"BIN1",0.0696981473827355,-0.0575190761403079
"NCKAP5",-0.00875431750467198,0.00722458593256598
"NXPH2",-0.0116819573378401,0.00961526151188556
"CACNB4",-0.00100671871995009,0.000830804445698872
"KCNJ3",-0.0192204090650374,0.0158618301055992
"SLC4A10",-0.0576631985424775,0.0475871171905021
"IFIH1",0.0376076250204898,-0.0315310760017245
"SCN2A",-0.0315973861703442,0.0260760512182371
"SCN9A",0.00105521170415383,-0.000870823754048871
"SCN7A",0.0157490121180855,-0.0131355161438551
"CERS6",-0.038315943183581,0.0316206059432046
"GAD1",-0.0287789038070494,0.0237500711492724
"CDCA7",-0.013005397587658,-0.0211472232546432
"PDE1A",-0.124897324011293,0.103072735205999
"FRZB",-0.0222665018247555,0.0142037125644569
