"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"187","HS3ST4","3",2.65741908669435,2.10311639199795,41853733,0.889579340679222,0,0,88.149028933809,30.8987558987559
"188","PALD1","3",1.81341346491834,1.71358380613567,41522699,0.882543385070139,0,0,79.8256044391597,7.58258258258258
"189","BMP2K","3",2.26748927062966,1.80727896490071,41455676.5,0.881118856668797,0,0,85.6916369401506,32.1214071214071
"190","C3","3",1.74776534913784,1.6718177040424,41422418.5,0.880411975165245,0,0,78.8347205707491,5.41613041613042
"191","MAML3","3",2.13663832420168,1.73638831141828,40964599.5,0.870681270279962,0,0,84.0269520412208,26.2012012012012
"192","CSF2RA","3",1.54151778019754,1.50887204813791,40871407,0.868700512130952,0,0,75.0297265160523,2.64907764907765
"193","AKAP13","3",1.99091119405697,1.54239944321375,40780652,0.866771561777507,0,0,84.423305588585,32.3788073788074
"194","SYK","3",1.52964758094411,1.50058413847841,40762438,0.866384432674563,0,0,74.3955608402695,2.20935220935221
"195","RHBDF2","3",1.51784375320801,1.48607061623855,40745647.5,0.86602755932423,0,0,74.4748315497424,2.53110253110253
"196","RASGEF1C","3",1.75842471362351,1.6496664117817,40737702.5,0.865858692478788,0,0,76.8133174791914,9.18060918060918
"197","ABCC4","3",1.70890907856246,1.54837587066068,40520669,0.86124575824338,0,0,77.6456599286564,12.9611754611755
"198","RIN3","3",1.61925763428854,1.51961144912555,40304518,0.856651581086777,0,0,74.8711850971066,8.63363363363363
"199","RUNX1","3",1.76849192006007,1.65138829259431,40302284.5,0.856604109205179,0,0,75.2675386444709,9.38974688974689
"200","ARHGAP22","3",1.90303647093927,1.51944332790877,40301380,0.85658488452781,0,0,82.1244550138724,27.6812526812527
"201","LHFPL2","3",1.8058661304459,1.58779601853029,40282053,0.856174099188368,0,0,78.1212841854935,17.9375804375804
"202","RBM47","3",1.5604707498702,1.51476746079944,40193713.5,0.854296489031923,0,0,72.6516052318668,3.71621621621622
"203","PTPRC","3",1.43104359436927,1.39757162700269,40146117.5,0.853284860790806,0,0,72.1363456202933,2.37022737022737
"204","SRGAP2B","3",1.56983710786019,1.4279455426698,39982018.5,0.849797021839233,0,0,75.0693618707887,13.2775632775633
"205","MYO1F","3",1.38497530996036,1.33775640464309,39930608,0.848704318383272,0,0,71.8588981371383,3.94144144144144
"206","AC074327.1","3",1.67358965694004,1.63056555785063,39800220,0.845932989214797,0,0,70.7887435592549,3.28721578721579
"207","FMNL3","3",1.624923643327,1.36716879039306,39558269,0.840790446468211,0,0,77.0907649623464,21.3588588588589
"208","FLI1","3",1.45308408748681,1.3750968049796,39544463,0.84049700711413,0,0,71.7796274276655,4.27391677391677
"209","LYN","3",1.41140433613772,1.32337590328996,39529548.5,0.840180007168711,0,0,71.8192627824019,7.16966966966967
"210","SMAP2","3",1.80733034585893,1.50153947096316,39455169.5,0.838599120183543,0,0,76.9322235434007,25.0750750750751
"211","LHFPL3","4",3.82737791877395,3.51955714468492,32656631.5,0.987114305601971,0,0,98.5874043555032,19.2738290879211
"212","PCDH15","4",3.53426820022113,3.10048002412766,32351173,0.97788118995997,0,0,97.9399646851089,26.0065735414955
"213","MEGF11","4",2.43670201177591,2.31443711520158,31649036.5,0.956657660410227,0,0,93.2313125367863,9.39811010682005
"214","VCAN","4",2.58350129643181,2.37575228116532,31429561.5,0.950023574092354,0,0,93.3490288404944,13.5990139687757
"215","PTPRZ1","4",2.88005162314839,2.32963994850705,31248841.5,0.944560937895219,0,0,95.1147733961154,31.5119145439606
"216","LUZP2","4",2.56587362618521,2.27074726083372,30922183.5,0.934687023470232,0,0,91.7010005885815,19.2686935086278
"217","CA10","4",2.53572806486782,2.15062064129124,30894725.5,0.933857048565955,0,0,93.5256032960565,22.9354971240756
"218","SOX6","4",2.63391123280881,2.13678911105479,30373013.5,0.918087223113988,0,0,91.8775750441436,27.6859079704191
"219","SEMA5A","4",2.30879882077604,1.98796058451935,30242096,0.914129970599942,0,0,89.3466745144202,21.2510271158587
"220","MMP16","4",2.53640058945187,1.98850972795627,30141848.5,0.91109978234091,0,0,91.4655679811654,33.1090797041906
"221","LINC00511","4",2.30817320180021,1.83032012399405,29867478,0.90280636586943,0,0,92.8781636256622,27.8656532456861
"222","SMOC1","4",1.89383144696417,1.76576900048565,29664268.5,0.896663937968248,0,0,83.2254267216009,9.2645850451931
"223","NXPH1","4",2.3736237522962,2.07525848096848,29586497.5,0.894313148461345,0,0,87.7575044143614,15.319433032046
"224","SEZ6L","4",2.34810376549437,1.81410337880551,29583812.5,0.89423198877681,0,0,89.9352560329606,31.1883730484799
"225","TMEM132C","4",1.97446085244202,1.59753512325579,28664531,0.86644480198367,0,0,84.8145968216598,23.7674609695974
"226","GRIK1","4",2.25623653663774,1.82995118946061,28619349,0.865079082480245,0,0,86.5803413772808,21.88270336894
"227","AC004852.2","4",1.70987611192637,1.68459489808503,28535307,0.862538739013669,0,0,73.3961153619776,1.97206244864421
"228","BRINP3","4",2.09400416568151,1.58820895299399,28517420.5,0.86199808251555,0,0,85.3443201883461,32.0306080525883
"229","PDZRN4","4",1.97670597249628,1.66006444975439,28165611,0.851363911924603,0,0,80.1648028251913,20.31635168447
"230","AL445250.1","4",1.76950810539893,1.50563650042305,28074864.5,0.848620911063253,0,0,78.8699234844026,17.9847986852917
"231","SULF2","4",1.31644093330075,1.20419302062225,28002517,0.846434058073699,0,0,74.9264273101825,8.86914543960559
"232","MYT1","4",1.17788959205998,1.12922193091749,27825221.5,0.841074934479802,0,0,70.8063566804002,4.44227608874281
"233","NTNG1","4",1.64904474677691,1.35923867059797,27727889,0.838132858131541,0,0,79.1053560918187,18.7910846343468
"234","PID1","4",1.84414632101013,1.37934965310529,27722161,0.837959717471198,0,0,83.284284873455,29.9147493837305
"235","KIF26B","4",1.61805601554956,1.28791243944202,27715494.5,0.837758208705106,0,0,81.1065332548558,23.0947000821693
"236","CACNG4","4",1.21771906877328,1.12247948656755,27705450.5,0.837454608008094,0,0,72.6309593878752,8.14502875924404
"237","COL11A1","4",1.38558300254471,1.22324442259075,27560345.5,0.833068508930044,0,0,73.984696880518,12.9313886606409
"238","PLPPR1","4",1.78662220657656,1.35927703205718,27546700,0.8326560454383,0,0,82.2836962919364,26.4122843056697
"239","STK32A","4",1.13694282267744,1.09435482963585,27429184.5,0.829103896124309,0,0,68.1577398469688,3.70275267050123
"240","SGCZ","4",2.24960968778974,1.69215139382201,27346751.5,0.826612188014314,0,0,81.8716892289582,28.9492604765818
"241","SLC24A3","4",1.7133981323871,1.31286639577768,27289522,0.824882307877948,0,0,81.2831077104179,24.4864420706656
"242","UST","4",1.39843906939165,1.1667995283384,27009330,0.816412924515025,0,0,74.102413184226,16.541700903862
"243","SCN1A","4",1.6166480554091,1.17547704070007,26917906,0.813649444813349,0,0,80.4590935844615,29.1957682826623
"244","ZNF462","4",1.554178864893,1.14528402575158,26806115.5,0.81027034547849,0,0,78.4579164214244,29.5912078882498
"245","GPC6","4",1.87808338981327,1.38785477911725,26707413.5,0.807286873157055,0,0,78.3402001177163,28.2919063270337
